"","x"
"1279","Stxbp1"
"1280","Gm13524"
"1281","Gm13523"
"1282","Fam129b"
"1283","Lrsam1"
"1284","Slc2a8"
"1285","Garnl3"
"1286","Ralgps1"
"1287","Angptl2"
"1288","Zbtb34"
"1289","Zbtb43"
"1290","Lmx1b"
"1291","C130021I20Rik"
"1292","Mvb12b"
"1293","Pbx3"
"1294","C79798"
"1295","Mapkap1"
"1296","Gapvd1"
"1297","Hspa5"
"1298","Rabepk"
"1299","Fbxw2"
"1300","Psmd5"
"1301","Cutal"
"1302","Phf19"
"1303","Traf1"
"1304","Cntrl"
"1305","Rab14"
"1306","Gsn"
"1307","Stom"
"1308","Ggta1"
"1309","Dab2ip"
"1310","Ttll11"
"1311","Ndufa8"
"1312","Rbm18"
"1313","Mrrf"
"1314","Gm13431"
"1315","Ptgs1"
"1316","Pdcl"
"1317","Rc3h2"
"1318","Zbtb6"
"1319","Zbtb26"
"1320","Rabgap1"
"1321","Strbp"
"1322","Gpr21"
"1323","Dennd1a"
"1324","Gm13556"
"1325","Nek6"
"1326","Psmb7"
"1327","Nr6a1"
"1328","Nr6a1os"
"1329","Olfml2a"
"1330","Wdr38"
"1331","Arpc5l"
"1332","Golga1"
"1333","Scai"
"1334","Ppp6c"
"1335","Lrp1b"
"1336","Arhgap15"
"1337","Gtdc1"
"1338","Zeb2"
"1339","Gm13481"
